date,category,amount,note
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-09-01,utilities,55.25,Electric bill
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-10-15,entertainment,30.0,Movie tickets
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
2024-11-25,groceries,100.0,Weekly shopping
